resolution,requested_pairs,scored_pairs,excluded_pairs,coverage,mean_accuracy,sd_accuracy,se_accuracy,mean_fmr,sd_fmr,se_fmr,mean_fnmr,sd_fnmr,se_fnmr,false_matches,false_nonmatches,delta_accuracy_pp,delta_fmr_pp,delta_fnmr_pp,reused_probe_embeddings,elapsed_seconds
160,6000,5999,1,0.9998333333333334,0.9916661101836393,0.005931189184065177,0.0018756067055001626,0.004333333333333333,0.0031622776601683794,0.001,0.0123355629877369,0.010308650196818082,0.0032598814223888184,13,37,0.0,0.0,0.0,0,0.079
80,6000,5999,1,0.9998333333333334,0.9911658319421257,0.005775560049212156,0.0018263924518584585,0.004333333333333333,0.0038650060290946857,0.0012222222222222222,0.013336677814938682,0.010182290588146577,0.0032199230056238664,13,40,-0.050027824151355205,0.0,0.1001114827201782,0,58.964
40,6000,5999,1,0.9998333333333334,0.9883319421257651,0.004968004844807483,0.001571021073634298,0.004666666666666667,0.003220305943597653,0.001018350154434631,0.018671125975473803,0.01020513981536775,0.003227148565703229,14,56,-0.33341680578741206,0.033333333333333395,0.6335562987736902,0,57.315
20,6000,5999,1,0.9998333333333334,0.8998210907067333,0.020761279700164784,0.006565293099233836,0.009666666666666667,0.005762801102173307,0.0018223577185396361,0.19071348940914157,0.04029746682105115,0.012743177908958651,29,572,-9.184501947690594,0.5333333333333334,17.837792642140464,0,83.07
